name,year,committee,region,cleanedName,cleanedRegion,Continent
Sergey Gorinsky,2010,Organizing,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",Sergey Gorinsky,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",EU
Carla-Fabiana Chiasserini,2010,Organizing,"Politecnico di Torino, Italy",Carla-Fabiana Chiasserini,"Politecnico di Torino, Italy",EU
Krishna Sivalingam,2010,Organizing,"IIT Madras, India",Krishna Sivalingam,"IIT Madras, India",AS
Partha Dutta,2010,Organizing,"IBM Research, India",Partha Dutta,"IBM Research, India",AS
B.N. Jain,2010,Organizing,"IIT Delhi, India",B.N. Jain,"IIT Delhi, India",AS
Anurag Kumar,2010,Organizing,"IISc, Bangalore, India",Anurag Kumar,"IISc, Bangalore, India",AS
Jaudelice de Oliveira,2010,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Srinivasan Keshav,2011,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",NorAm
Jörg Liebeherr,2011,Organizing,"University of Toronto, Canada",Jörg Liebeherr,"University of Toronto, Canada",NorAm
John Byers,2011,Organizing,"Boston University, USA",John Byers,"Boston University, USA",NorAm
Jeffrey Mogul,2011,Organizing,"HP Labs, USA",Jeffrey Mogul,"HP Labs, USA",NorAm
Yashar Ganjali,2011,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",NorAm
Martin Karsten,2011,Organizing,"University of Waterloo, Canada",Martin Karsten,"University of Waterloo, Canada",NorAm
Ken Calvert,2011,Organizing,"University of Kentucky, USA",Ken Calvert,"University of Kentucky, USA",NorAm
Aditya Akella,2011,Organizing,"University of Wisconsin-Madison, USA",Aditya Akella,"University of Wisconsin-Madison, USA",NorAm
Lili Qiu,2011,Organizing,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",NorAm
Stratis Ioannidis,2011,Organizing,"Technicolor, France",Stratis Ioannidis,"Technicolor, France",EU
Nicolas Christin,2011,Organizing,"Carnegie Mellon University, USA",Nicolas Christin,"Carnegie Mellon University, USA",NorAm
Kenjiro Cho,2011,Organizing,"IIJ Research Laboratory, Japan",Kenjiro Cho,"IIJ Research Laboratory, Japan",AS
Arun Venkataramani,2011,Organizing,"University of Massachusetts, USA",Arun Venkataramani,"University of Massachusetts, USA",NorAm
Giorgio Ventre,2011,Organizing,"University of Napoli, Italy",Giorgio Ventre,"University of Napoli, Italy",EU
Georgios Smaragdakis,2011,Organizing,"Deutsche Telekom Labs & TU Berlin, Germany",Georgios Smaragdakis,"Deutsche Telekom Labs & TU Berlin, Germany",EU
Stefan Saroiu,2011,Organizing,Microsoft Research,Stefan Saroiu,Microsoft Research,
Jaudelice de Oliveira,2011,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Lars Eggert,2012,Organizing,"NetApp, Germany",Lars Eggert,"NetApp, Germany",EU
Jörg Ott,2012,Organizing,"Aalto University, Finland",Jörg Ott,"Aalto University, Finland",EU
Venkat Padmanabhan,2012,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",AS
George Varghese,2012,Organizing,"UCSD, USA",George Varghese,"UCSD, USA",NorAm
Jussi Kangasharju,2012,Organizing,"University of Helsinki, Finland",Jussi Kangasharju,"University of Helsinki, Finland",EU
Jukka Manner,2012,Organizing,"Aalto University, Finland",Jukka Manner,"Aalto University, Finland",EU
Joe Touch,2012,Organizing,"USC/ISI, USA",Joe Touch,"USC/ISI, USA",NorAm
Dina Katabi,2012,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
Jitendra Padhye,2012,Organizing,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",NorAm
Kevin Almeroth,2012,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",NorAm
Colin Perkins,2012,Organizing,"University of Glasgow, UK",Colin Perkins,"University of Glasgow, UK",EU
Andrea Passarella,2012,Organizing,"CNR IIT, Italy",Andrea Passarella,"CNR IIT, Italy",EU
Ryuji Wakikawa,2012,Organizing,"Toyota ITC, USA/Japan",Ryuji Wakikawa,"Toyota ITC, USA/Japan",AS
Marcelo Bagnulo,2012,Organizing,"Universidad Carlos III de Madrid, Spain",Marcelo Bagnulo,"Universidad Carlos III de Madrid, Spain",EU
Polly Huang,2012,Organizing,"National Taiwan University, Taiwan",Polly Huang,"National Taiwan University, Taiwan",AS
Sharon Goldberg,2012,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",NorAm
Liang Wang,2012,Organizing,"University of Helsinki, Finland",Liang Wang,"University of Helsinki, Finland",EU
Jaudelice de Oliveira,2012,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Dah Ming Chiu,2013,Organizing,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",AS
Jia Wang,2013,Organizing,"AT&T Labs - Research, USA",Jia Wang,"AT&T Labs - Research, USA",NorAm
Paul Barford,2013,Organizing,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",NorAm
Srinivasan Seshan,2013,Organizing,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Xiaohua Jia,2013,Organizing,"City University of Hong Kong, China",Xiaohua Jia,"City University of Hong Kong, China",AS
Patrick P. C. Lee,2013,Organizing,"The Chinese University of Hong Kong, China",Patrick P. C. Lee,"The Chinese University of Hong Kong, China",AS
Wing Cheong Lau,2013,Organizing,"The Chinese University of Hong Kong, China",Wing Cheong Lau,"The Chinese University of Hong Kong, China",AS
Aditya Akella,2013,Organizing,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Ratul Mahajan,2013,Organizing,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",NorAm
Lili Qiu,2013,Organizing,"University of Texas, USA",Lili Qiu,"University of Texas, USA",NorAm
Helen Wang,2013,Organizing,"Microsoft Research, USA",Helen Wang,"Microsoft Research, USA",NorAm
Nick Feamster,2013,Organizing,"Georgia Institute of Technology, USA",Nick Feamster,"Georgia Institute of Technology, USA",NorAm
Vijay Gopalakrishnan,2013,Organizing,"AT&T Labs - Research, USA",Vijay Gopalakrishnan,"AT&T Labs - Research, USA",NorAm
Yongguang Zhang,2013,Organizing,"Microsoft Research Asia, China",Yongguang Zhang,"Microsoft Research Asia, China",AS
Jun Bi,2013,Organizing,"Tsinghua University, China",Jun Bi,"Tsinghua University, China",AS
Zihui Ge,2013,Organizing,"AT&T Labs - Research, USA",Zihui Ge,"AT&T Labs - Research, USA",NorAm
Krishna Gummadi,2013,Organizing,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",EU
Y. Charlie Hu,2013,Organizing,"Purdue University, USA",Y. Charlie Hu,"Purdue University, USA",NorAm
Augustin Chaintreau,2013,Organizing,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",NorAm
Polly Huang,2013,Organizing,"National Taiwan University, R.O.China",Polly Huang,"National Taiwan University, R.O.China",AS
Carmen Guerrero,2013,Organizing,University Carlos III Madrid,Carmen Guerrero,University Carlos III Madrid,
Kwok Wai Cheung,2013,Organizing,"The Chinese University of Hong Kong, China",Kwok Wai Cheung,"The Chinese University of Hong Kong, China",AS
Bruce Maggs,2013,Organizing,"Duke University, USA",Bruce Maggs,"Duke University, USA",NorAm
Jaudelice de Oliveira,2013,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Fabián E. Bustamante,2014,Organizing,"Northwestern U., USA",Fabián E. Bustamante,"Northwestern U., USA",NorAm
Y. Charlie Hu,2014,Organizing,"Purdue U., USA",Y. Charlie Hu,"Purdue U., USA",NorAm
Yan Chen,2014,Organizing,"Northwestern U., USA",Yan Chen,"Northwestern U., USA",NorAm
Jakob Eriksson,2014,Organizing,"University of Illinois, Chicago, USA",Jakob Eriksson,"University of Illinois, Chicago, USA",NorAm
Randall Berry,2014,Organizing,"Northwestern U., USA",Randall Berry,"Northwestern U., USA",NorAm
Matthew Caesar,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Matthew Caesar,"U. of Illinois, Urbana-Champaign, USA",NorAm
Ming Zhang,2014,Organizing,"Microsoft Research, USA",Ming Zhang,"Microsoft Research, USA",NorAm
Sonia Fahmy,2014,Organizing,"Purdue U., USA",Sonia Fahmy,"Purdue U., USA",NorAm
Jia Wang,2014,Organizing,"AT&T Labs, USA",Jia Wang,"AT&T Labs, USA",NorAm
David R. Choffnes,2014,Organizing,"Northeastern University, USA",David R. Choffnes,"Northeastern University, USA",NorAm
Kun Tan,2014,Organizing,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",AS
Xenofontas Dimitropulos,2014,Organizing,"ETH Zurich, Switzerland",Xenofontas Dimitropulos,"ETH Zurich, Switzerland",EU
Phillipa Gill,2014,Organizing,"Stony Brook U., USA",Phillipa Gill,"Stony Brook U., USA",NorAm
Bin Liu,2014,Organizing,"Tsinghua U., China",Bin Liu,"Tsinghua U., China",AS
Claudio Righetti,2014,Organizing,"Universidad de Buenos Aires, Argentina",Claudio Righetti,"Universidad de Buenos Aires, Argentina",SA
Robin Kravets,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Robin Kravets,"U. of Illinois, Urbana-Champaign, USA",NorAm
Minlan Yu,2014,Organizing,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",NorAm
Tilman Wolf,2014,Organizing,"University of Massachusetts Amherst, USA",Tilman Wolf,"University of Massachusetts Amherst, USA",NorAm
Ignacio Alvarez-Hamelin,2014,Organizing,"Universidad de Buenos Aires, Argentina",Ignacio Alvarez-Hamelin,"Universidad de Buenos Aires, Argentina",SA
Wenjun Hu,2014,Organizing,"Yale University, USA",Wenjun Hu,"Yale University, USA",NorAm
Dimitrios Koutsonikolas,2014,Organizing,"U. at Buffalo, SUNY, USA",Dimitrios Koutsonikolas,"U. at Buffalo, SUNY, USA",NorAm
Marco Mellia,2014,Organizing,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",EU
Sujata Banerjee,2014,Organizing,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",NorAm
P. Brighten Godfrey,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",P. Brighten Godfrey,"U. of Illinois, Urbana-Champaign, USA",NorAm
Yashar Ganjali,2014,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",NorAm
Jaudelice de Oliveira,2014,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",NorAm
Steve Uhlig,2015,Organizing,"Queen Mary University of London, UK",Steve Uhlig,"Queen Mary University of London, UK",EU
Olaf Maennel,2015,Organizing,"Tallinn U. of Technology, Estonia",Olaf Maennel,"Tallinn U. of Technology, Estonia",EU
Hamed Haddadi,2015,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",EU
Paolo Costa,2015,Organizing,"Microsoft Research Cambridge, UK",Paolo Costa,"Microsoft Research Cambridge, UK",EU
Jon Crowcroft,2015,Organizing,"U. of Cambridge, UK",Jon Crowcroft,"U. of Cambridge, UK",EU
Christophe Diot,2015,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",EU
Luigi Rizzo,2015,Organizing,"U. di Pisa, Italy",Luigi Rizzo,"U. di Pisa, Italy",EU
Richard Mortier,2015,Organizing,"U. of Nottingham, UK",Richard Mortier,"U. of Nottingham, UK",EU
Cigdem Sengul,2015,Organizing,"Oxford-Brookes U., UK",Cigdem Sengul,"Oxford-Brookes U., UK",EU
Craig Partridge,2015,Organizing,"Raytheon BBN, USA",Craig Partridge,"Raytheon BBN, USA",NorAm
Fahad Dogar,2015,Organizing,"Raytheon BBN, USA",Fahad Dogar,"Raytheon BBN, USA",NorAm
Olivier Bonaventure,2015,Organizing,"U. Catolique de Louvaine, Belgium",Olivier Bonaventure,"U. Catolique de Louvaine, Belgium",EU
Cristel Pelsser,2015,Organizing,"IIJ, Japan",Cristel Pelsser,"IIJ, Japan",AS
Georgios Smaragdakis,2015,Organizing,"MIT, USA and TU Berlin, Germany",Georgios Smaragdakis,"MIT, USA and TU Berlin, Germany",EU
Theophilus Benson,2015,Organizing,"Duke U., USA",Theophilus Benson,"Duke U., USA",NorAm
Gaogang Xie,2015,Organizing,"ICT CAS, China",Gaogang Xie,"ICT CAS, China",AS
Chadi  Barakat,2015,Organizing,"Inria Sophia Antipolis, France",Chadi  Barakat,"Inria Sophia Antipolis, France",EU
Gonca Gursun,2015,Organizing,"Ozyegin University, Turkey",Gonca Gursun,"Ozyegin University, Turkey",AS
Ethan Katz-Bassett,2015,Organizing,"U. of Southern California, USA",Ethan Katz-Bassett,"U. of Southern California, USA",NorAm
Te-Yuan Huang,2015,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",NorAm
Maria Kazandjieva,2015,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",NorAm
Justine Sherry,2015,Organizing,"U. of Berkeley, USA",Justine Sherry,"U. of Berkeley, USA",NorAm
Vyas Sekar,2015,Organizing,"Carnegie Mellon U., USA",Vyas Sekar,"Carnegie Mellon U., USA",NorAm
Christian Kreibich,2015,Organizing,"ICSI, U. of Berkeley, USA",Christian Kreibich,"ICSI, U. of Berkeley, USA",NorAm
Matthew Roughan,2015,Organizing,"U. of Adelaide, Australia",Matthew Roughan,"U. of Adelaide, Australia",OC
Andrew Moore,2015,Organizing,"U. of Cambridge, UK",Andrew Moore,"U. of Cambridge, UK",EU
Miguel Rio,2015,Organizing,"U. College London, UK",Miguel Rio,"U. College London, UK",EU
Felix Cuadrado,2015,Organizing,"Queen Mary U. of London, UK",Felix Cuadrado,"Queen Mary U. of London, UK",EU
Renata Teixeira,2015,Organizing,Inria Paris-Rocquencourt,Renata Teixeira,Inria Paris-Rocquencourt,
Nick Feamster,2015,Organizing,"Princeton U., USA",Nick Feamster,"Princeton U., USA",NorAm
Yashar Ganjali,2015,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",NorAm
Marinho P Barcellos,2016,Organizing,"UFRGS, Brazil",Marinho P Barcellos,"UFRGS, Brazil",SA
Jon Crowcroft,2016,Organizing,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",EU
Fabíola Greve,2016,Organizing,"UFBA, Brazil",Fabíola Greve,"UFBA, Brazil",SA
Leobino Sampaio,2016,Organizing,"UFBA, Brazil",Leobino Sampaio,"UFBA, Brazil",SA
Pan Hui,2016,Organizing,"Hong Kong U. of Science and Technology, Hong Kong",Pan Hui,"Hong Kong U. of Science and Technology, Hong Kong",
Christian E Rothenberg,2016,Organizing,"UNICAMP, Brazil",Christian E Rothenberg,"UNICAMP, Brazil",SA
Fahad Dogar,2016,Organizing,"Tufts University, USA",Fahad Dogar,"Tufts University, USA",NorAm
Craig Partridge,2016,Organizing,"Raytheon BBN Technologies, USA",Craig Partridge,"Raytheon BBN Technologies, USA",NorAm
Aruna Balasubramanian,2016,Organizing,"Stony Brook University, USA",Aruna Balasubramanian,"Stony Brook University, USA",NorAm
Te-Yuan Huang,2016,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",NorAm
Marco Canini,2016,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",
Daniel R Figueiredo,2016,Organizing,"UFRJ, Brazil",Daniel R Figueiredo,"UFRJ, Brazil",SA
Aakanksha Chowdhery,2016,Organizing,"Princeton University, USA",Aakanksha Chowdhery,"Princeton University, USA",NorAm
Matteo Varvello,2016,Organizing,"Telefonica, Spain",Matteo Varvello,"Telefonica, Spain",EU
Ronaldo A Ferreira,2016,Organizing,"UFMS, Brazil",Ronaldo A Ferreira,"UFMS, Brazil",SA
Hamed Haddadi,2016,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",EU
Sharon Goldberg,2016,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",NorAm
Ítalo Cunha,2016,Organizing,"UFMG, Brazil",Ítalo Cunha,"UFMG, Brazil",SA
Ethan Katz-Bassett,2016,Organizing,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",NorAm
Maria Kazandjieva,2016,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",NorAm
Phillipa Gill,2016,Organizing,"Stony Brook University, USA",Phillipa Gill,"Stony Brook University, USA",NorAm
Lisandro Z Granville,2016,Organizing,"UFRGS, Brazil",Lisandro Z Granville,"UFRGS, Brazil",SA
Sue Moon,2016,Organizing,"KAIST , Korea",Sue Moon,"KAIST , Korea",AS
Costin Raiciu,2016,Organizing,"University Politehnica of Bucharest, Romania",Costin Raiciu,"University Politehnica of Bucharest, Romania",EU
Christophe Diot,2016,Organizing,"Safran Analytics, France",Christophe Diot,"Safran Analytics, France",EU
Raj Jain,2016,Organizing,"Washington University in St. Louis, USA",Raj Jain,"Washington University in St. Louis, USA",NorAm
Weverton Cordeiro,2016,Organizing,"UFRGS, Brazil",Weverton Cordeiro,"UFRGS, Brazil",SA
Anna-Kaisa Pietilainen,2016,Organizing,"Inria, France",Anna-Kaisa Pietilainen,"Inria, France",EU
Jussara Almeida,2016,Organizing,"UFMG, Brazil",Jussara Almeida,"UFMG, Brazil",SA
Lars Eggert,2016,Organizing,"Netapp, Germany",Lars Eggert,"Netapp, Germany",EU
Yashar Ganjali,2016,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",NorAm
K. K. Ramakrishnan,2017,Organizing,"University of California, Riverside",K. K. Ramakrishnan,"University of California, Riverside",NorAm
Lixia Zhang,2017,Organizing,"University of California, Los Angeles",Lixia Zhang,"University of California, Los Angeles",NorAm
Peter Reiher,2017,Organizing,"University of California, Los Angeles",Peter Reiher,"University of California, Los Angeles",NorAm
Bharathan Balaji,2017,Organizing,"University of California, Los Angeles",Bharathan Balaji,"University of California, Los Angeles",NorAm
Fahad Dogar,2017,Organizing,Tufts University,Fahad Dogar,Tufts University,
Sergey Gorinsky,2017,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,
Alex Afanasyev,2017,Organizing,Florida International University,Alex Afanasyev,Florida International University,NorAm
Mayutan Arumaithurai,2017,Organizing,University of Goettingen,Mayutan Arumaithurai,University of Goettingen,
Dan Li,2017,Organizing,Tsinghua University,Dan Li,Tsinghua University,
Jiasi Chen,2017,Organizing,"University of California, Riverside",Jiasi Chen,"University of California, Riverside",NorAm
Lan Wang,2017,Organizing,University of Memphis,Lan Wang,University of Memphis,
Hamed Haddadi,2017,Organizing,"Queen Mary University of London, UK",Hamed Haddadi,"Queen Mary University of London, UK",EU
Minlan Yu,2017,Organizing,Yale University,Minlan Yu,Yale University,NorAm
Lars Eggert,2017,Organizing,NetApp,Lars Eggert,NetApp,
Lili Qiu,2017,Organizing,University of Texas at Austin,Lili Qiu,University of Texas at Austin,NorAm
David Oran,2017,Organizing,Unknown,David Oran,Unknown,NorAm
Bruce Maggs,2017,Organizing,Duke Univeristy / Akamai Technologies,Bruce Maggs,Duke Univeristy / Akamai Technologies,NorAm
Yashar Ganjali,2017,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",NorAm
Alex C. Snoeren,2017,Organizing,UC San Diego,Alex C. Snoeren,UC San Diego,NorAm
Walter Willinger,2017,Organizing,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",
Radhika Niranjan Mysore,2017,Organizing,VMware Research,Radhika Niranjan Mysore,VMware Research,
Matthias WÃ¤hlisch,2017,Organizing,"Freie UniversitÃ¤t Berlin, Germany",Matthias Waschlisch,"Freie UniversitÃ¤t Berlin, Germany",EU
Jeff Burke,2017,Organizing,"University of California, Los Angeles",Jeff Burke,"University of California, Los Angeles",NorAm
Nicholas Zhang,2017,Organizing,Huawei,Nicholas Zhang,Huawei,
David Meyer,2017,Organizing,Brocade,David Meyer,Brocade,
Puneet Sharma,2017,Organizing,Hewlett Packard Labs,Puneet Sharma,Hewlett Packard Labs,
Vishal Misra,2017,Organizing,Columbia University,Vishal Misra,Columbia University,NorAm
Vyas Sekar,2017,Organizing,Carnegie Mellon University,Vyas Sekar,Carnegie Mellon University,NorAm
Ethan Katz-Bassett,2017,Organizing,University of Southern California,Ethan Katz-Bassett,University of Southern California,
Justine Sherry,2017,Organizing,Carnegie Mellon University,Justine Sherry,Carnegie Mellon University,NorAm
Giovanni Pau,2017,Organizing,"University Pierre et Marie Curie/LIP6, Paris, France",Giovanni Pau,"University Pierre et Marie Curie/LIP6, Paris, France",EU
Vahab Pournaghshband,2017,Organizing,"California State University, Northridge",Vahab Pournaghshband,"California State University, Northridge",NorAm
Sergey Gorinsky,2018,Organizing,"IMDEA, Spain",Sergey Gorinsky,"IMDEA, Spain",EU
JÃ¡nos Tapolcai,2018,Organizing,"BME, Hungary",Janos Tapolcai,"BME, Hungary",EU
Tilman Wolf,2018,Organizing,"UMass, USA",Tilman Wolf,"UMass, USA",NorAm
Mark Handley,2018,Organizing,"UCL, UK",Mark Handley,"UCL, UK",EU
Dina Katabi,2018,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
Xiaoming Fu,2018,Organizing,"GAU, Germany",Xiaoming Fu,"GAU, Germany",EU
K. K. Ramakrishnan,2018,Organizing,"UCR, USA",K. K. Ramakrishnan,"UCR, USA",NorAm
Marco Canini,2018,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",
BalÃ¡zs Sonkoly,2018,Organizing,"BME, Hungary",Balazs Sonkoly,"BME, Hungary",EU
Aleksandar Kuzmanovic,2018,Organizing,"Northwestern, USA",Aleksandar Kuzmanovic,"Northwestern, USA",NorAm
Matteo Varvello,2018,Organizing,"AT&T, USA",Matteo Varvello,"AT&T, USA",NorAm
Suresh Subramaniam,2018,Organizing,"GWU, USA",Suresh Subramaniam,"GWU, USA",NorAm
Szabolcs Malomsoky,2018,Organizing,"Ericsson, Hungary",Szabolcs Malomsoky,"Ericsson, Hungary",EU
Ruslan Smeliansky,2018,Organizing,"MSU and ARCCN, Russia",Ruslan Smeliansky,"MSU and ARCCN, Russia",EU
AndrÃ¡s CsÃ¡szÃ¡r,2018,Organizing,"Ericsson, Hungary",Andras Csaszar,"Ericsson, Hungary",EU
Ravi Kokku,2018,Organizing,"IBM, USA",Ravi Kokku,"IBM, USA",NorAm
Costin Raiciu,2018,Organizing,"UPB, Romania",Costin Raiciu,"UPB, Romania",EU
Marco Chiesa,2018,Organizing,"KTH, Sweden",Marco Chiesa,"KTH, Sweden",EU
Zhi-Li Zhang,2018,Organizing,"UMN, USA",Zhi-Li Zhang,"UMN, USA",NorAm
Fernando Kuipers,2018,Organizing,"TU Delft, Netherlands",Fernando Kuipers,"TU Delft, Netherlands",EU
GÃ¡bor RÃ©tvÃ¡ri,2018,Organizing,"BME, Hungary",Gabor Retvari,"BME, Hungary",EU
Vasileios Giotsas,2018,Organizing,"Lancaster, UK",Vasileios Giotsas,"Lancaster, UK",EU
ZoltÃ¡n LÃ¡zÃ¡r,2018,Organizing,"Nokia, Hungary",Zoltan Lazar,"Nokia, Hungary",EU
Levente Csikor,2018,Organizing,"BME, Hungary and Unicamp, Brazil",Levente Csikor,"BME, Hungary and Unicamp, Brazil",SA
IstvÃ¡n GÃ³dor,2018,Organizing,"Ericsson, Hungary",Istvan Godor,"Ericsson, Hungary",EU
